Species,Common_Name,n,meandC,stddevdC,meandN,stddevdN,meandS,stddevdS
Cattle,Cattle,9,-20.7,0.893028555,6.555555556,1.906640443,11.41666667,3.270117225
Chicken,Chicken,12,-18.55,0.844770006,9.808333333,0.896922347,14.50833333,1.259479209
Goat,Goat,7,-19.68571429,0.367099312,4.957142857,0.921696159,12.31666667,1.992402235
Partridge,Partridge,2,-20.3,0.424264069,5.7,0.141421356,13.9,0
Pig,Pig,7,-19.62857143,0.807701029,9.228571429,2.03937432,13.075,1.66007028
Rabbit,Rabbit,7,-21.61428571,1.066815466,7.914285714,3.533378257,13.84,2.000749859
Red Deer,Red Deer,7,-19.97142857,0.188982237,3.671428571,0.488924963,15.5,0.852447457
Sheep,Sheep,9,-19.95555556,1.112554618,6.666666667,1.604680654,11.5125,3.836083382
Grey Plover,Grey Plover,1,-14.9,NA,10.3,NA,9.5,NA
Kittiwake,Kittiwake,1,-15.5,NA,13.9,NA,15.8,NA
Barley,Barley,6,-23.11666667,0.875023809,9.2,0.509901951,NA,NA
Stone Pine,Stone Pine,3,-25.2,0.435889894,12.16666667,1.415391583,NA,NA
