cat,Species,n,meandC,stddevdC,meandN,stddevdN
fauna,Cattle,9,-20.7,0.893028555,6.555555556,1.906640443
fauna,Chicken,12,-18.55,0.844770006,9.808333333,0.896922347
fauna,Goat,7,-19.68571429,0.367099312,4.957142857,0.921696159
fauna,Partridge,2,-20.3,0.424264069,5.7,0.141421356
fauna,Pig,7,-19.62857143,0.807701029,9.228571429,2.03937432
fauna,Rabbit,7,-21.61428571,1.066815466,7.914285714,3.533378257
fauna,Red Deer,7,-19.97142857,0.188982237,3.671428571,0.488924963
fauna,Sheep,9,-19.95555556,1.112554618,6.666666667,1.604680654
flora,Barley,6,-23.11666667,0.875023809,9.2,0.509901951
flora,Stone Pine,3,-25.2,0.435889894,12.16666667,1.415391583
